Row Number,Area,Region,Territory,Rep ID,IDN,Account,Clinical Focus Area,Target Type,Product Line,Category,GPO,Total Units Sold,Opportunity ($),Net Cost To Customer ($),Rolling 12 Sales ($),# Codes on Account Shelf,# Codes in System,# Codes in Neither,2025 Penetration %,2024 Penetration %,2023 Penetration %,3 Month Trend,6 Month Trend,9 Month Trend,CY Market Exposure %,PY Market Exposure %
40,Midwest,Great Lakes,GL-602,REP-73156,Dignity Health,Metro Health System,Cardiovascular,Non-Target,Alpha Series,Disposables,None,512,695105.45,533330.09,588366.5,17,11,1,0.8139,0.309,0.6488,0.5093,0.7055,0.7051,0.3715,0.5023
41,Midwest,Great Lakes,GL-603,REP-40647,Sutter Health,St. Mary's Community Hospital,Oncology,Tier 3,Beta Series,Capital Equipment,MedAssets,1737,398200.65,302761.17,396558.88,3,4,0,0.9151,0.4978,0.6202,0.1875,0.8985,0.2221,0.2995,0.4188
42,West,California,CA-1103,REP-30253,Piedmont Healthcare,Central Medical Center,Neurology,Non-Target,Gamma Series,Capital Equipment,MedAssets,808,212952.26,145533.44,156945.33,11,3,10,0.5388,0.8861,0.7191,0.1545,0.3483,0.9714,0.572,0.5033
43,Northeast,New England,NE-103,REP-93819,Ascension Health,St. Mary's Health System,General Surgery,Tier 2,Beta Series,Capital Equipment,None,1617,465655.84,338026.52,491570.73,7,10,2,0.8126,0.6874,0.4802,0.9856,0.9888,0.5862,0.4892,0.1105
44,Northeast,New England,NE-101,REP-56955,Atrium Health,Coastal Health System,Cardiovascular,Tier 2,Gamma Series,Capital Equipment,Premier,1569,365720.42,213615.39,56863.66,14,11,8,0.6859,0.5938,0.444,0.6536,0.7545,0.9179,0.4124,0.2159
45,Northeast,New England,NE-102,REP-62640,Piedmont Healthcare,Central Medical Center,Neurology,Non-Target,Alpha Series,Capital Equipment,HealthTrust,1295,161250.37,94792.24,382104.15,18,10,6,0.9465,0.6449,0.5949,0.6449,0.1893,0.7316,0.519,0.408
46,West,Pacific Northwest,PN-1002,REP-69186,Atrium Health,Parkview Health System,Neurology,Non-Target,Delta Series,Capital Equipment,HealthTrust,924,284392.68,178162.61,573083.66,15,2,1,0.8407,0.3606,0.3628,0.7649,0.8306,0.6007,0.3726,0.3589
47,Midwest,Great Lakes,GL-602,REP-56346,Piedmont Healthcare,University Medical Center,Orthopedics,Tier 3,Gamma Series,Capital Equipment,Provista,1089,209554.1,156541.29,150062.02,3,11,8,0.5389,0.7957,0.6732,0.8265,0.8606,0.9771,0.5001,0.3875
48,West,Pacific Northwest,PN-1002,REP-13794,Trinity Health,Summit Health System,Orthopedics,Tier 3,Alpha Series,Disposables,None,343,474740.82,318188.06,102287.3,20,0,1,0.785,0.4398,0.5729,0.4068,0.433,0.7494,0.4773,0.3622
49,Northeast,New England,NE-101,REP-30632,CommonSpirit Health,Central Medical Center,Orthopedics,Non-Target,Delta Series,Service Contract,Provista,955,360637.8,221673.49,317160.86,11,13,1,0.4841,0.741,0.6163,0.7004,0.1409,0.4557,0.3796,0.0542
50,Midwest,Great Lakes,GL-601,REP-43491,Dignity Health,Horizon Medical Center,Cardiovascular,Non-Target,Delta Series,Disposables,Premier,828,449436.76,278216.28,344059.67,11,2,6,0.8601,0.3275,0.3122,0.929,0.8759,0.6182,0.3654,0.4402
51,Southwest,Mountain West,MW-901,REP-63088,Ascension Health,Horizon Regional Hospital,Oncology,Non-Target,Gamma Series,Capital Equipment,Intalere,1779,129397.35,88081.16,252260.89,2,12,4,0.7848,0.444,0.8064,0.1687,0.6699,0.5775,0.1566,0.4769
52,Midwest,Great Lakes,GL-601,REP-23474,Providence Health,Summit Regional Hospital,General Surgery,Tier 2,Alpha Series,Disposables,None,1336,420587.77,326516.48,460728.75,14,10,10,0.5055,0.5858,0.6048,0.6682,0.8167,0.6323,0.2436,0.0908
53,Southwest,Mountain West,MW-901,REP-17456,LifePoint Health,University Health System,Cardiovascular,Tier 1,Delta Series,Service Contract,Provista,1185,765673.61,590852.19,43793.17,18,6,5,0.6933,0.6259,0.9225,0.5055,0.8299,0.8536,0.5903,0.0964
54,Southeast,Carolinas,CA-301,REP-67377,SSM Health,Heritage Community Hospital,Oncology,Tier 2,Gamma Series,Accessories,HealthTrust,843,356577.05,232313.57,366773.8,20,10,1,0.5143,0.6627,0.5513,0.3268,0.8664,0.968,0.3815,0.1327
55,Northeast,New England,NE-102,REP-50662,Northwell Health,Riverside Community Hospital,Women's Health,Tier 1,Gamma Series,Service Contract,MedAssets,1671,296357.42,174358.37,427641.91,16,2,10,0.7358,0.6305,0.3118,0.378,0.9561,0.4076,0.4714,0.1556
56,Southeast,Carolinas,CA-301,REP-48770,Tenet Healthcare,Heritage Community Hospital,Women's Health,Tier 1,Gamma Series,Disposables,Provista,821,165689.57,100118.55,421850.47,19,5,7,0.3284,0.5368,0.7677,0.9726,0.6495,0.7772,0.4811,0.1787
57,Southeast,Florida,FL-402,REP-35430,LifePoint Health,Central Community Hospital,Neurology,Non-Target,Gamma Series,Service Contract,Provista,1130,363995.62,217894.13,135824.68,19,4,4,0.3339,0.6124,0.5413,0.9409,0.7403,0.5643,0.1186,0.0961
58,Southeast,Florida,FL-402,REP-77286,Providence Health,University General Hospital,Cardiovascular,Tier 2,Delta Series,Accessories,Vizient,899,89942.67,63014.03,156751.28,2,11,3,0.3183,0.905,0.8455,0.685,0.8122,0.2238,0.2078,0.5064
59,Southeast,Gulf Coast,GC-502,REP-68799,Ascension Health,Memorial Medical Center,Cardiovascular,Tier 3,Beta Series,Disposables,Provista,1975,595426.09,421759.03,84488.38,9,7,4,0.3792,0.455,0.7153,0.6605,0.1565,0.853,0.3249,0.3448
60,West,Pacific Northwest,PN-1001,REP-48177,Piedmont Healthcare,St. Mary's Community Hospital,Orthopedics,Tier 2,Delta Series,Disposables,MedAssets,1418,114210.47,96210.48,59254.01,16,0,6,0.8677,0.3283,0.5515,0.436,0.7726,0.4214,0.0872,0.1826
61,Northeast,Mid-Atlantic,MA-201,REP-15811,LifePoint Health,Heritage Health System,Women's Health,Tier 2,Delta Series,Service Contract,MedAssets,423,658623.26,374710.64,470190.43,14,1,4,0.431,0.8142,0.8758,0.384,0.3791,0.4584,0.4985,0.3104
62,Northeast,New England,NE-102,REP-56789,CommonSpirit Health,University Health System,Orthopedics,Tier 1,Gamma Series,Service Contract,Intalere,1572,379802.48,317873.26,216641.24,5,15,7,0.5388,0.8182,0.4734,0.1744,0.482,0.4875,0.5973,0.1493
63,Midwest,Central Plains,CP-701,REP-20494,Intermountain Health,Central Health System,Orthopedics,Non-Target,Delta Series,Disposables,MedAssets,959,313660.24,176498.67,524621.56,11,13,4,0.7157,0.8145,0.3373,0.7041,0.4656,0.5618,0.4624,0.138
64,Northeast,New England,NE-103,REP-98878,SSM Health,St. Mary's Regional Hospital,Cardiovascular,Tier 2,Gamma Series,Accessories,Intalere,1994,475433.48,347793.12,413855.99,11,11,7,0.796,0.673,0.6441,0.4582,0.6846,0.3247,0.1124,0.4546
65,Southwest,Mountain West,MW-901,REP-44311,Banner Health,Metro General Hospital,General Surgery,Tier 3,Delta Series,Disposables,Vizient,327,689619.72,472812.11,541233.84,14,2,10,0.9289,0.9413,0.7341,0.7386,0.595,0.3613,0.215,0.1366
66,Southeast,Florida,FL-403,REP-39391,Tenet Healthcare,Lakeside Regional Hospital,General Surgery,Non-Target,Alpha Series,Accessories,Provista,1222,326683.37,258438.73,339955.22,19,2,1,0.501,0.9497,0.7673,0.5731,0.7922,0.841,0.0906,0.5848
67,Northeast,Mid-Atlantic,MA-202,REP-99143,LifePoint Health,Riverside Community Hospital,Women's Health,Tier 2,Beta Series,Service Contract,Provista,1915,701158.72,560518.37,320499.24,9,5,2,0.5097,0.7611,0.5249,0.9468,0.9054,0.8613,0.1878,0.3993
68,West,California,CA-1101,REP-91922,Dignity Health,Coastal Community Hospital,Cardiovascular,Tier 2,Beta Series,Disposables,MedAssets,1328,590474.58,431956.76,508667.4,18,1,0,0.3528,0.9166,0.8012,0.3382,0.2897,0.6149,0.39,0.0667
69,West,California,CA-1103,REP-49596,Sutter Health,Lakeside General Hospital,Orthopedics,Non-Target,Alpha Series,Capital Equipment,Premier,950,361716.31,249342.86,217311.69,4,10,5,0.7772,0.8595,0.934,0.2177,0.4335,0.6055,0.2255,0.3066
70,Midwest,Central Plains,CP-701,REP-28465,Tenet Healthcare,St. Mary's Health System,Neurology,Non-Target,Beta Series,Disposables,None,720,750313.65,574994.26,130103.78,5,15,8,0.6034,0.8714,0.6233,0.181,0.4539,0.5115,0.1824,0.3708
71,Northeast,New England,NE-102,REP-74866,Sutter Health,Summit Community Hospital,Cardiovascular,Tier 1,Delta Series,Disposables,HealthTrust,1539,324333.23,217619.89,46240.59,1,6,5,0.6596,0.3478,0.6278,0.788,0.3517,0.9902,0.4242,0.1153
72,Northeast,Mid-Atlantic,MA-202,REP-54444,LifePoint Health,Capital Regional Hospital,General Surgery,Non-Target,Alpha Series,Capital Equipment,Vizient,330,585193.88,462999.4,321212.97,4,4,5,0.9054,0.507,0.5554,0.6549,0.8583,0.6344,0.329,0.3303
73,Southwest,Mountain West,MW-902,REP-12180,LifePoint Health,Horizon Medical Center,Neurology,Tier 3,Alpha Series,Service Contract,HealthTrust,1392,637177.99,498813.9,355027.95,1,15,2,0.6408,0.7688,0.8035,0.4422,0.8395,0.318,0.3649,0.4353
74,Southeast,Carolinas,CA-302,REP-51116,Piedmont Healthcare,Riverside General Hospital,Women's Health,Tier 2,Delta Series,Service Contract,None,1787,601877.95,342278.59,100087.84,6,10,10,0.6109,0.5449,0.9218,0.5137,0.5798,0.5916,0.4217,0.5272
75,Midwest,Central Plains,CP-701,REP-42311,Banner Health,Heritage Health System,General Surgery,Tier 3,Gamma Series,Disposables,MedAssets,1493,416752.31,289201.53,345082.8,8,9,1,0.6728,0.6531,0.8822,0.4551,0.4106,0.7958,0.1306,0.0731
76,Northeast,Mid-Atlantic,MA-202,REP-95979,Banner Health,Metro General Hospital,General Surgery,Tier 2,Gamma Series,Accessories,Premier,273,511757.78,371561.3,160625.66,16,7,10,0.4513,0.3651,0.5147,0.5252,0.7131,0.2237,0.5805,0.5879
77,Southeast,Florida,FL-403,REP-72350,Sutter Health,Central Regional Hospital,Orthopedics,Tier 3,Gamma Series,Capital Equipment,None,233,539224.05,334138.84,448438.18,1,5,6,0.8735,0.4143,0.8978,0.9975,0.4573,0.5458,0.5651,0.5792
78,Midwest,Great Lakes,GL-601,REP-49110,Tenet Healthcare,Memorial Health System,Orthopedics,Non-Target,Delta Series,Disposables,None,1082,401015.58,243754.68,85335.12,5,14,10,0.4672,0.421,0.7788,0.8117,0.611,0.7816,0.1465,0.5209
79,Southwest,Mountain West,MW-902,REP-21368,Northwell Health,Central Medical Center,General Surgery,Tier 2,Delta Series,Accessories,Premier,63,245588.96,152426.35,457178.86,10,9,9,0.7699,0.3074,0.7249,0.7235,0.1559,0.2064,0.2187,0.273
80,West,California,CA-1103,REP-25389,Dignity Health,Horizon Community Hospital,General Surgery,Tier 2,Beta Series,Service Contract,Premier,981,610801.13,446936.43,261190.46,17,15,8,0.8213,0.8366,0.7952,0.7123,0.6362,0.8086,0.339,0.3405
81,Midwest,Great Lakes,GL-603,REP-24707,CommonSpirit Health,University Community Hospital,Oncology,Tier 2,Beta Series,Disposables,HealthTrust,1799,440256.16,257493.5,139132.86,18,15,1,0.8843,0.5896,0.3362,0.2187,0.4739,0.6075,0.3573,0.42
82,Midwest,Great Lakes,GL-602,REP-43352,Ascension Health,Metro Regional Hospital,Oncology,Tier 1,Alpha Series,Service Contract,HealthTrust,1484,97819.93,82974.49,562058.02,2,15,0,0.4866,0.417,0.388,0.6774,0.7564,0.9674,0.256,0.5402
83,Southwest,Mountain West,MW-902,REP-20518,Providence Health,Central Health System,Cardiovascular,Tier 2,Delta Series,Disposables,MedAssets,506,676116.21,525243.46,587524.6,14,13,8,0.5465,0.4493,0.5994,0.2396,0.2696,0.8877,0.471,0.0677
84,Southwest,Texas,TX-801,REP-37011,HCA Healthcare,Valley Community Hospital,Cardiovascular,Non-Target,Alpha Series,Disposables,MedAssets,140,351699.01,218159.52,146016.14,1,4,8,0.9458,0.4522,0.8957,0.6185,0.6197,0.7953,0.5001,0.1803
85,Southeast,Gulf Coast,GC-501,REP-64206,Dignity Health,Summit Medical Center,Oncology,Tier 2,Delta Series,Service Contract,Vizient,755,756189.81,568203.11,475766.67,10,13,6,0.397,0.5447,0.7904,0.5262,0.8644,0.3707,0.4392,0.4932
86,Northeast,Mid-Atlantic,MA-202,REP-83044,Providence Health,Parkview Regional Hospital,Orthopedics,Tier 2,Gamma Series,Capital Equipment,Intalere,1784,328308.12,233325.51,501055.65,1,8,6,0.7379,0.6919,0.8679,0.2693,0.7855,0.7519,0.3574,0.3137
87,Midwest,Central Plains,CP-701,REP-37762,Advocate Aurora,Metro Medical Center,Women's Health,Non-Target,Beta Series,Disposables,Intalere,1924,229498.22,148367.04,184174.33,14,11,4,0.47,0.6333,0.6232,0.1887,0.9832,0.5225,0.5119,0.5529
88,Midwest,Central Plains,CP-702,REP-15992,Atrium Health,Metro Regional Hospital,Cardiovascular,Tier 3,Delta Series,Accessories,Premier,451,297398.96,197458.61,503350.37,15,10,4,0.7962,0.6176,0.7703,0.7656,0.5147,0.7595,0.2437,0.127
89,West,California,CA-1101,REP-81058,CommonSpirit Health,Heritage Medical Center,Cardiovascular,Tier 1,Alpha Series,Service Contract,Premier,1775,523026.24,298329.14,107597.19,6,14,5,0.3393,0.7145,0.907,0.9215,0.6934,0.1142,0.3427,0.2762
90,Northeast,Mid-Atlantic,MA-203,REP-47576,Ascension Health,Heritage General Hospital,General Surgery,Tier 1,Alpha Series,Disposables,Premier,443,514835.63,322145.76,225575.84,12,2,5,0.9235,0.5983,0.4581,0.7275,0.37,0.8453,0.0943,0.5954
91,Northeast,New England,NE-102,REP-59710,Northwell Health,Heritage General Hospital,Cardiovascular,Tier 1,Beta Series,Capital Equipment,Intalere,1781,375432.24,294831.78,348196.84,3,1,3,0.4374,0.8643,0.8769,0.528,0.1419,0.1669,0.5591,0.5446
92,West,Pacific Northwest,PN-1001,REP-51220,Ascension Health,Lakeside Community Hospital,General Surgery,Non-Target,Alpha Series,Accessories,Premier,1204,230354.15,184374.35,245710.83,17,10,6,0.7911,0.391,0.9425,0.7517,0.5507,0.9769,0.0795,0.2904
93,Northeast,Mid-Atlantic,MA-203,REP-90460,Northwell Health,Capital Health System,Cardiovascular,Tier 3,Delta Series,Service Contract,Premier,778,464778.29,307975.15,127727.95,18,12,1,0.8019,0.492,0.4602,0.1662,0.3412,0.442,0.4811,0.1349
94,Southwest,Mountain West,MW-902,REP-23965,HCA Healthcare,St. Mary's Health System,Neurology,Tier 3,Gamma Series,Capital Equipment,Premier,228,190543.84,130456.43,341749.2,13,3,0,0.3583,0.6602,0.688,0.806,0.8773,0.1111,0.2776,0.4785
95,West,Pacific Northwest,PN-1001,REP-99825,Northwell Health,Riverside Regional Hospital,Orthopedics,Tier 3,Gamma Series,Service Contract,Premier,179,175405.55,110994.63,193856.31,2,11,4,0.9137,0.7686,0.6223,0.655,0.5121,0.2219,0.0537,0.2676
96,West,California,CA-1102,REP-67700,Intermountain Health,Parkview Community Hospital,General Surgery,Tier 3,Gamma Series,Disposables,Intalere,693,183227.95,122665.96,205099.85,20,15,9,0.8083,0.5118,0.4822,0.8073,0.4285,0.9389,0.1599,0.5985
97,Southeast,Gulf Coast,GC-501,REP-70505,Advocate Aurora,Mercy Health System,Women's Health,Tier 1,Delta Series,Service Contract,Premier,1347,277124.48,173425.75,109403.08,13,12,1,0.5919,0.6887,0.6785,0.5809,0.9311,0.8827,0.2801,0.0702
98,Midwest,Great Lakes,GL-601,REP-42536,LifePoint Health,Riverside Community Hospital,Cardiovascular,Non-Target,Gamma Series,Service Contract,Vizient,71,123954.92,76430.64,453174.76,17,7,7,0.5432,0.601,0.7417,0.7214,0.2357,0.9979,0.3155,0.2125
99,Northeast,New England,NE-103,REP-28569,LifePoint Health,Summit Health System,Neurology,Tier 2,Delta Series,Accessories,Intalere,249,378624.45,287386.93,204967.5,9,1,1,0.3147,0.523,0.3711,0.82,0.9369,0.7664,0.3338,0.3536
100,Midwest,Central Plains,CP-702,REP-40389,Northwell Health,Central Regional Hospital,General Surgery,Non-Target,Delta Series,Capital Equipment,MedAssets,1307,712323.03,487850.46,269140.65,0,6,3,0.4809,0.7574,0.8174,0.6196,0.8196,0.5832,0.2512,0.1584
101,Northeast,Mid-Atlantic,MA-203,REP-74157,Intermountain Health,Coastal General Hospital,Oncology,Non-Target,Alpha Series,Accessories,HealthTrust,1781,393395.44,236728.95,410681.54,9,2,10,0.3871,0.3766,0.4985,0.2647,0.7241,0.5597,0.28,0.1258
102,Southwest,Mountain West,MW-901,REP-73788,Trinity Health,Heritage Regional Hospital,Neurology,Tier 3,Beta Series,Disposables,HealthTrust,1774,388250.73,219782.29,228242.72,0,15,2,0.4268,0.5496,0.665,0.6878,0.4682,0.5426,0.4406,0.2941
